"ClaimNumber","lat","long","LossCity","lossPostal","County"
"04292520b22f6a96f7908fa71a245dec",43.60391,-84.103281,"Auburn","48611","BAY"
"04294c597be19f1f43b77d1d567f89cc",43.117774,-83.692387,"Mount Morris","48458","GENESEE"
"04296bdc814dc3ebec5544e1eaa27552",42.278124,-83.262613,"Dearborn Heights","48125","WAYNE"
"042ba49fc60a76b126a376f2bbe656cb",42.55997,-83.147539,"Troy","48007","OAKLAND"
"042d077bc926ee57f5e560a9088d087c",42.349831,-83.059548,"Detroit","48201","WAYNE"
"0441df49548d95c1eec4ad3e159ff44d",44.724395,-85.113919,"Kalkaska","49646","KALKASKA"
"0442858df39f71366c674330169ca94d",46.174568,-84.321584,"Pickford","49774","CHIPPEWA"
"04478829c38ce2372c9efac0ccc141b3",43.023316,-83.686511,"Flint","48501","GENESEE"
"044a9fb135a5baea487f9821b5c100ae",41.952997,-85.638678,"Three Rivers","49093","ST. JOSEPH"
"044d00e8a87d1c3a77671069fe36484b",42.209763,-86.051192,"Lawrence","49064","VAN BUREN"
"044f04219a3ecd605d79dc68d7ec8028",43.235857,-86.250162,"Muskegon","49440","MUSKEGON"
"04602e1f0450d5782639c520ea094d79",42.673377,-82.777159,"Chesterfield","48047","MACOMB"
"0461370c613a0d73e54b6528c87833cf",42.809956,-85.545562,"Caledonia","49316","KENT"
"046b032ae1329498f5279a6449a25d00",42.513962,-84.647947,"Eaton Rapids","48827","EATON"
"04716d6c48e0b55efeb488464fd357d2",41.954903,-84.768204,"Allen","49227","HILLSDALE"
"047267fabbb11ad61f9645307eeacfd6",42.351076,-83.025059,"Detroit","48207","WAYNE"
"0484e10425d3729cc5ff976708fff834",42.673377,-82.777159,"New Baltimore","48047","MACOMB"
"04958ed7b514e02a189f12f3ede2ae49",43.941799,-84.134398,"Bentley","48613","BAY"
"0496cd7e582b12358979b75121d462d3",42.231396,-83.6302,"Ypsilanti","48197","WASHTENAW"
"0499a9b714d6a66c940ed64f590306b7",42.486657,-83.140649,"Royal Oak","48067","OAKLAND"
"0499ec87ab32f791948da2675faf818c",43.601913,-83.91718,"Bay City","48706","BAY"
"049ad98b96e57f3bec649799198c286b",42.982855,-85.064206,"Ionia","48846","IONIA"
"04a07f8328b81c58a2f4dbf356b2fcc2",44.737835,-93.207477,"Apple Valley","55124",NA
"04a62c5b7550da6b2e83d7a858ac5564",41.860223,-84.349493,"Hudson","49247","LENAWEE"
"04a96bd5892394669dc428732faca435",42.774841,-86.108125,"Holland","49423","OTTAWA"
"04b25f8f5cbb79fb525cb1eb089f43b6",42.593143,-83.494152,"Commerce Township","48382","OAKLAND"
"04bc96ff6f286986c31fe933cf3900ee",40.865073,-82.320306,"Ashland","44805",NA
"04c685d8f6072ae38c960314077ecd8e",42.222179,-85.89977,"Paw Paw","49079","VAN BUREN"
"04d2e35f1be82729898237005865af35",44.410796,-85.40741,"Manton","49663","WEXFORD"
"04d58d9a8b9172a9dcafcffc3198ae26",42.538285,-83.384457,"West Bloomfield","48322","OAKLAND"
"04da616c50b79896164d387b39024f41",42.867899,-85.645057,"Kentwood","49508-6010","KENT"
"04dd5de4b6149e79179bf0b648e11c14",43.853575,-83.980321,"Pinconning","48650","BAY"
"04df5a14cd80a2578d25c8ceb7446a35",42.930492,-85.653294,"Grand Rapids","49507","KENT"
"04eacb5953dc1424f28aa815595deda7",44.633272,-85.798708,"Interlochen","49643","GRAND TRAVERSE"
"04f73cce984a70d9c02c519b2c9488b0",42.66726,-83.001039,"Utica","48315","MACOMB"
"04fd799bf6047d75807a558a6ec139ef",43.343885,-83.362658,"Mayville","48744","TUSCOLA"
"0512792291af4ce4778c934fcd28c794",42.790338,-86.098823,"Holland","49422","OTTAWA"
"0514f5fe10c6282477b9c6202e3a05a5",42.560295,-82.906151,"Clinton Township","48035","MACOMB"
"051e327b36a00c4c2d08f16a12c5ea0e",42.867726,-85.870369,"Hudsonville","49426","OTTAWA"
"051e462581966b4ea5eb339371c98af6",44.249454,-85.419174,"Cadillac","49601","WEXFORD"
"05273e888907e661379c5d772f5ec71b",42.349831,-83.059548,"Detroit","48201","WAYNE"
"052830d5643e25d592fed370624985fa",42.332747,-85.56739,"Kalamazoo","49004","KALAMAZOO"
"052f5144b34b2dd8c0c99713483eb06e",41.898068,-84.039138,"Adrian","49221","LENAWEE"
"05342dc7e5491e51a4e57cd38c72daa9",42.203354,-86.163756,"Hartford","49057","VAN BUREN"
"0536e30ebe97132fe5d43e45df03da5e",42.430582,-82.979535,"Detroit","48205","WAYNE"
"0538312daecfc3e10401dedd3d65f530",46.072317,-84.117271,"Stalwart","49736","CHIPPEWA"
"05394ddf808ee612eb5e78c7438cf47e",42.436174,-83.491611,"Northville Township","48167","WAYNE"
"053a2080fe84fbb9b3dd4dd251366498",42.526371,-82.88892,"Saint Clair Shores","48082","MACOMB"
"053bedd9a5331b22208b33bd12b9f83f",42.349831,-83.059548,"Detroit","48201","WAYNE"
"0540c403c0c4fa9a87c25ccb821d2865",42.732659,-84.556047,"Lansing","48901","INGHAM"
"0544613b9612a4c6f80f7b5f23c9cfde",42.749654,-84.744939,"Grand Ledge","48837","EATON"
"054590b11558cb2c576a1a366f909571",42.774841,-86.108125,"Holland","49423","OTTAWA"
"0547fc1e8d0f2dc75150a3ee04949b4f",42.560295,-82.906151,"Clinton Township","48035","MACOMB"
"054ae6686eb3f62f75dc5c8773ebc785",42.687547,-82.907869,"Macomb Township","48042","MACOMB"
"054af6eb91eca39c1975c73ede33300d",42.662567,-82.586891,"Algonac","48001","ST. CLAIR"
"05551a8e2d576a51919c188acb250e30",42.809956,-85.545562,"Caledonia","49316","KENT"
"0558b5ff69df2852a90d1730b614a768",38.632752,-90.323173,"Richmond Heights","63117",NA
"055b2bbe168a24a857a027c7aa20370b",42.421481,-83.103589,"Detroit","48203","WAYNE"
"055e197363a34ce8bc4d8a70673f40d4",42.052284,-83.388053,"Carleton","48117","MONROE"
"05608c43a6f80e5ca1333f37358b9147",42.349831,-83.059548,"Detroit","48201","WAYNE"
"0562691682e2997b2b8b32ba26553b05",42.671477,-85.999343,"Hamilton","49419","ALLEGAN"
"056e694b506e66ad440ec2f2d800ce40",47.12896,-88.576518,"Hancock","49930-2102","HOUGHTON"
"0570e97676a1089609b4e53eb0a1b493",42.306528,-83.181951,"Dearborn","48120","WAYNE"
"0571ab8b45385594f65040c2122d916f",42.849872,-82.914078,"Armada","48005","MACOMB"
